"Module / Action","Expected access","Actual access (lowest-privilege with access)","Result","Finding"
"/api/auth/check-tenants — list all tenants","Platform-operator only","Any anonymous visitor — all tenants + schema names + user emails","FAIL","RBAC-001"
"/api/qiwa — gov sync / create / terminate","HR / payroll, tenant-scoped","Any anonymous visitor, using server credentials","FAIL","API-001"
"/api/auth/login — password check","Throttled + lockout + MFA","Unthrottled, no lockout, no MFA (password oracle)","FAIL","AUTH-002"
"employee.getById — read salary + PII","HR / payroll; dept-scoped for managers","Recruiter & Dept Manager read any employee salary/PII","FAIL","API-004"
"expense.approve — approve a claim","A different approver (not submitter)","Submitter can approve their own claim","FAIL","BIZ-001"
"expense.markPaid — mark paid","HR / payroll only","Any staff role (recruiter, department manager)","FAIL","BIZ-002"
"attendance / leave — list & reports","Capability-gated (HR / manager scope)","Any staff role incl. recruiter (companyProcedure)","FAIL","RBAC-004"
"payroll — view runs / payslips","PAYROLL_VIEW_ROLES only","PAYROLL_VIEW_ROLES only","PASS",""
"/super-admin — cross-tenant registry","Platform-operator (allowlist)","Platform-operator (allowlist)","PASS",""
"employee.create / update — write","requireRole (HR)","requireRole (HR); field-scoped update","PASS",""
"/api/company/invite — invite with role","Role-gated, cannot mint super_admin","Role-gated allowlist (SEC-001 verified fixed)","PASS",""
"tRPC — any query while unauthenticated","401 Unauthorized","401 Unauthorized (verified live)","PASS",""
"MFA — privileged roles","Enforced for admins","Opt-in only; never enforced by policy","PARTIAL","AUTH-006"
"Session — after role change / offboarding","Revoked on next request","Stale up to 30 min; no revocation mechanism","PARTIAL","AUTH-003"
